id,title,description,bank,provider,category,is_active,created_at,updated_at
77,Rotter y Krauss,Hasta 35% dto. martes en compra presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849062,2025-06-14T00:15:33.849063
78,Bouden,20% dto. martes online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849070,2025-06-14T00:15:33.849071
79,La Fête Chocolat,20% dto. los lunes presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849077,2025-06-14T00:15:33.849079
80,MDF,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849085,2025-06-14T00:15:33.849087
81,Doite,20% dto. en compras presenciales y online todos los martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849093,2025-06-14T00:15:33.849094
82,Tommy Beans,Miércoles 40% dto. a través de la App de cada marca y 30% dto. en compras presenciales.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849101,2025-06-14T00:15:33.849102
83,TESSA,20% dto. jueves presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849110,2025-06-14T00:15:33.849111
84,AV ODONTOLOGÍA,Hasta un 60% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849117,2025-06-14T00:15:33.849118
85,Restaurante Ana María,20% dto. miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849125,2025-06-14T00:15:33.849127
86,Bar Imperial,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849133,2025-06-14T00:15:33.849135
87,BANGKOK THAI,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849141,2025-06-14T00:15:33.849142
88,Ari Nikkei,20% dto. martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849149,2025-06-14T00:15:33.849150
89,Ramblas,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849156,2025-06-14T00:15:33.849157
90,Don Teo Santiago,20% dto. viernes a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849164,2025-06-14T00:15:33.849165
91,Japón Ya,20% dto. miércoles y jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849171,2025-06-14T00:15:33.849172
92,Barrica 94,50% dto. todos los jueves de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849179,2025-06-14T00:15:33.849180
93,Capogrossi,50% dto. los martes de junio con tu Tarjeta Visa Infinite,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849188,2025-06-14T00:15:33.849189
94,Transvip,15% dto en servicios,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849196,2025-06-14T00:15:33.849197
95,Green Lab,20% dto. jueves a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849203,2025-06-14T00:15:33.849205
96,Vietnam Dicovery,20% dto. martes a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849211,2025-06-14T00:15:33.849212
97,La Cocina de Javier,30% dto. los martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849219,2025-06-14T00:15:33.849220
98,Novu,20% dto. los días lunes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849226,2025-06-14T00:15:33.849227
99,PECES DE CIUDAD,20% dto. miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849233,2025-06-14T00:15:33.849234
100,Casona Del Virrey,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849241,2025-06-14T00:15:33.849242
101,Fabrics,Hasta 40% dto. en ropa de cama y baño,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849249,2025-06-14T00:15:33.849250
102,Bao Bar,40% dto. todos los sábados de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849256,2025-06-14T00:15:33.849258
103,Expendio,Hasta 30% dto. sábados y domingos,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849264,2025-06-14T00:15:33.849265
104,Restaurante Isabella,20% dto. martes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849321,2025-06-14T00:15:33.849323
105,BAR PLAZA,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849331,2025-06-14T00:15:33.849332
106,Gorilas,20% dto. jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849339,2025-06-14T00:15:33.849340
107,Uber Eats: McDonald’s,Los martes obtén 40% dto. en McDonalds,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849347,2025-06-14T00:15:33.849348
108,China Wok,Viernes 30% dto. en compras presenciales.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849358,2025-06-14T00:15:33.849360
109,KFC,Jueves 30% dto. en compras presenciales.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849366,2025-06-14T00:15:33.849368
110,Doggis,40% dto pidiendo por la App y 30% dto presencial los miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849374,2025-06-14T00:15:33.849375
111,Juan Maestro,40% dto pidiendo por la App y 30% dto presencial los miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849383,2025-06-14T00:15:33.849384
112,Dunkin’,30% dto. lunes y miércoles en compra presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849400,2025-06-14T00:15:33.849402
113,Taringuita Mall Sport,40% dto. todos los martes de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849411,2025-06-14T00:15:33.849413
114,PAD THAI,40% dto. todos los miércoles de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849419,2025-06-14T00:15:33.849421
115,Verde Sazón,40% dto. todos los miércoles de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849428,2025-06-14T00:15:33.849429
116,Vicenzo,40% dto. todos los jueves de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849436,2025-06-14T00:15:33.849437
117,Casa Morera,40% dto. todos los jueves de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849444,2025-06-14T00:15:33.849445
118,Ruca Bar,40% dto. todos los viernes de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849452,2025-06-14T00:15:33.849453
119,Porfirio,40% dto. todos los domingos de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849459,2025-06-14T00:15:33.849461
120,Car Broker Chile,Hasta 25% dto. en servicios presenciales,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849467,2025-06-14T00:15:33.849468
121,DR SMILE,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849476,2025-06-14T00:15:33.849477
122,CLICKEPP,20% dto. todos los días online y presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849484,2025-06-14T00:15:33.849485
